@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute Class {1,2,3,5,6,10}

@data
0,1,1,0,1,1,1,1
1,1,1,0,0,1,1,1
1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1
0,0,1,0,0,1,0,2
0,0,1,0,0,1,0,2
0,0,1,0,0,1,0,2
0,1,1,0,0,1,0,2
0,0,1,0,1,0,1,3
1,0,1,1,0,0,0,3
1,0,1,1,1,0,1,3
1,0,1,1,1,0,1,3
1,1,1,1,1,1,1,3
0,0,1,1,0,1,1,3
1,0,1,1,0,0,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,1,1,1,1,1,3
0,1,0,1,0,1,0,5
0,1,1,1,0,1,0,5
0,1,1,1,0,1,0,5
0,1,1,1,0,1,0,5
0,1,1,1,0,1,1,5
0,0,0,1,0,1,1,6
1,1,0,1,0,1,0,6
1,1,0,1,0,1,1,6
1,1,0,1,0,1,1,6
1,1,0,1,0,1,1,6
0,1,0,1,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,0,0,0,0,0,0,2
1,0,1,0,0,1,0,2
1,0,1,0,0,1,0,2
1,0,1,0,1,1,0,2
1,1,1,0,0,1,0,2
0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1
1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,10
1,1,1,1,0,1,1,10
1,1,1,1,0,1,1,10
1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1
0,0,1,0,0,1,0,2
0,0,1,0,0,1,0,2
1,0,0,0,1,0,1,3
1,0,1,0,0,0,1,3
1,0,1,1,1,0,1,3
1,0,1,1,1,0,1,3
0,0,1,0,0,0,0,3
1,0,0,0,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
0,1,0,1,0,1,1,5
0,1,1,1,0,1,0,5
0,1,1,1,0,1,0,5
0,1,1,1,1,1,0,5
