,,,acc_0,f1_0,gmean_0,BA_0,MCC_0,AP_0,acc_1,f1_1,gmean_1,BA_1,MCC_1,AP_1,acc_2,f1_2,gmean_2,BA_2,MCC_2,AP_2,acc_3,f1_3,gmean_3,BA_3,MCC_3,AP_3,acc_4,f1_4,gmean_4,BA_4,MCC_4,AP_4,acc_5,f1_5,gmean_5,BA_5,MCC_5,AP_5,acc_6,f1_6,gmean_6,BA_6,MCC_6,AP_6,acc_7,f1_7,gmean_7,BA_7,MCC_7,AP_7,acc_8,f1_8,gmean_8,BA_8,MCC_8,AP_8,acc_9,f1_9,gmean_9,BA_9,MCC_9,AP_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,default,car,0.6116126329898635,0.31024380028566273,0.08541588126854294,0.38904958677685947,0.4406230386037088,0.40523452609543026,0.6221764262377482,0.31483575306539635,0.08623163845341107,0.38347107438016526,0.4054753135332113,0.3832171169183488,0.6677372874256513,0.33761060382489705,0.08905215173488176,0.40909090909090906,0.494631338835794,0.4127375272172742,0.6666700175923599,0.3364957409641938,0.08881255287791968,0.4055785123966942,0.475443269474815,0.38149479815004217,0.6990047750691127,0.35065811199628466,0.09005439180882521,0.41404958677685955,0.5058960735862672,0.40975612011732804,0.606333249560191,0.2989924006346695,0.08203456660843951,0.36505312868949236,0.35739222807402293,0.3760681516934568,0.625078327888079,0.30793491871979384,0.08330310326423163,0.3694510035419126,0.37536322701618585,0.38905653422705916,0.5878646226019939,0.29516358430704,0.0802978410157545,0.3733579817311875,0.36766058171701255,0.3619519610354004,0.6545078327888079,0.3304811949349583,0.08802122327177102,0.3976977567886658,0.4431821774793535,0.3857050832807277,0.6208025467035269,0.28432910748531426,0.07374109909509656,0.34542502951593856,0.2943959277917761,0.3504777408593707,0.6361787718857334,0.316674521621821,0.08469644493988739,0.3852224569688685,0.4160063176112147,0.3855699559594439
XGBoostWrapper,default,car,0.9571785205663066,0.8990654337914729,0.9032250042928771,0.9082404437667595,0.9088008214307317,0.7593989086914406,0.9560040211108319,0.9048548306316061,0.9139934327443193,0.9186589128574776,0.9062095692828658,0.7816355687654244,0.9583429672447012,0.8980953628259882,0.8990434619482215,0.9064048391799588,0.9112894155114863,0.7732720018432419,0.9566021613470722,0.9092672499742454,0.9218363109060406,0.92409623868954,0.9073914112838917,0.7728541894356045,0.9554511183714501,0.9005783310028079,0.9166095681507354,0.9223633423992276,0.9049562476732929,0.7806430212539394,0.9542799698416689,0.8973872194684368,0.9053131470904855,0.9125475003465434,0.9024943068967721,0.7800696593102745,0.9594839574432438,0.9179769520785648,0.9298583261190432,0.9313378009550259,0.9125879823388514,0.7771897799449616,0.9537069615481277,0.9064251333565082,0.9187750134757133,0.9212842181741703,0.9017509104804882,0.7607300506888077,0.9566021613470722,0.9040988756158883,0.9121241061844045,0.9180926131284984,0.9074230412939771,0.7614417214562059,0.9531289268660468,0.8913265076764537,0.9041436596979343,0.9093530871042832,0.9001995342575432,0.7547264943779822,0.9560780765686522,0.9029075896421972,0.9124922030609774,0.9172378996601485,0.9063103240449901,0.7701961395767883
GBTClassifier,GlobalCS,car,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771101,0.03162277660168379,0.25,0.0,0.25
XGBoostWrapper,GlobalCS,car,0.9299891094914969,0.8709654732517993,0.9354370598732252,0.9370673584788417,0.8590268883265567,0.6422840125617064,0.9276568652090139,0.8804546995361031,0.945635669155011,0.9467439259305287,0.8548353097787335,0.6423841844418676,0.9293959956437966,0.8761367906449149,0.945227734835109,0.9461950131208503,0.8583254887599759,0.6514990692672331,0.9299623020859513,0.877856722979519,0.9449738833445206,0.9463674483411326,0.8591810711875396,0.6462195528656878,0.9299874340286504,0.881720701815173,0.9462108328442781,0.9473383673742525,0.8599391448103516,0.6592165015645743,0.9311384770042725,0.8794092388697201,0.943350847771747,0.9443184208136362,0.8611086383934085,0.640401640253824,0.9282466281310212,0.8784887116497287,0.9453882567658184,0.946524886596657,0.8561978714492232,0.6396456910389532,0.9328742565133619,0.8793023156069213,0.9464320002061255,0.9477521282545206,0.8654325702890043,0.6351273234145747,0.9317114852978137,0.8822133889086412,0.946496816655441,0.9476407563728138,0.8624304549471484,0.6635340564432974,0.928251654519561,0.8763671162652829,0.9441127582533362,0.9455241528806122,0.8564631882381855,0.6407736194675537,0.9299214207924941,0.8782915159527803,0.9443265859704612,0.9455472458163845,0.8592940626180127,0.6461085651319273
GBTClassifier,ClusterCentroids,car,0.47454636843428,0.38927966944728476,0.5308082673348192,0.6236784148865488,0.29457084426901675,0.4357054838334354,0.5184552232554244,0.4092914432396772,0.5729643976501341,0.6320862749690501,0.33030221745025157,0.4606394715653903,0.44452542514869736,0.3496376158087683,0.500798144445243,0.5430375844251442,0.2541011570732757,0.43108862799989334,0.48845438552400094,0.32853040280047086,0.35946298021137485,0.5385408252035047,0.3221054048680088,0.4214095605015766,0.40794672028147777,0.330081860972372,0.4550237079018714,0.5482950661778412,0.23499561798393453,0.41818491540904634,0.46232051604255675,0.3795056518180966,0.5017489478433987,0.6094568111314522,0.29601758777884873,0.49454880299553594,0.44557091396498283,0.3876623022297611,0.5495980700818792,0.6292575247718788,0.28166157796119967,0.4571581487999353,0.3946435452793834,0.3475944886247495,0.5003296742984604,0.5781040729605323,0.23005380488879323,0.43223195792456115,0.452071709809835,0.4017250896508223,0.580410935550757,0.6402978600347022,0.2977642633336576,0.47303402796185656,0.3169506576191673,0.26315819831171955,0.4090254915064489,0.5517936011357065,0.17076865849915118,0.3957178747413908,0.4405485465359805,0.35864667229037217,0.4960170616824386,0.5894548035696361,0.27123411341061376,0.4419718871732622
XGBoostWrapper,ClusterCentroids,car,0.3158766859344894,0.2790583597735323,0.4435203714403836,0.6038775817483952,0.2039159382199165,0.39110497083806844,0.37551311049677477,0.2999756155231906,0.45765122551138704,0.6256679922947865,0.25473920531472155,0.35526536009603404,0.26979810672698334,0.248832926184443,0.43409734525188204,0.5947904368358914,0.18576280824003769,0.3935236065859036,0.2968920164195359,0.2607035524569822,0.4294757154558555,0.5932118121113337,0.19133852963624334,0.4027828199204886,0.38598810421378904,0.31010060564896313,0.4816557648374059,0.6248101778604171,0.24820219753076875,0.37109667890611703,0.27603417944207087,0.2403430652973703,0.3584933092896664,0.5831808144009101,0.18870086554044943,0.3945722119146739,0.38994889838317837,0.3160238091293662,0.4711486937148031,0.6280823243741904,0.2671048577071239,0.41663032057384086,0.31130099690039376,0.2671243589916771,0.4308200094949921,0.603521418772615,0.211386921765153,0.3753685688352329,0.2772589427829438,0.24360575507327917,0.3871367055328433,0.6003472006462436,0.17955873234060737,0.3789272538291314,0.39357124905755214,0.31554331374977096,0.47681198993689244,0.6272369974523084,0.2570700347357199,0.40640595580764893,0.32921822903577114,0.27813113618285745,0.4370811130466111,0.6084726756497092,0.21877800910307413,0.388567774730714
GBTClassifier,SOUP,car,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771102,0.0316227766016838,0.25,0.0,0.25,0.22222166373460667,0.09090863110771101,0.03162277660168379,0.25,0.0,0.25
XGBoostWrapper,SOUP,car,0.6400234564798526,0.7116876053648016,0.8165347433628088,0.8421099235692537,0.5040967573123523,0.47513424304535146,0.6209784703024211,0.7061672005488422,0.8044228179987936,0.8338915271331541,0.4897611539908583,0.4630661299823219,0.6823288933567898,0.7438093281495106,0.8407094313683618,0.860274653576089,0.5483192465899196,0.445829720511035,0.6551562369104466,0.7177499064972919,0.8222393906694873,0.8469878207916486,0.5212048970381247,0.45793852017968595,0.6192292870905588,0.7087281566828955,0.8057939997364704,0.836602333073625,0.4893002051190719,0.45114873194593696,0.6244466783949065,0.7068189936323417,0.804476206984239,0.8337944352298419,0.4919008065974553,0.4286357753113485,0.6840965066599648,0.7254189868694942,0.8362760627834926,0.855289805887892,0.5436801788968875,0.4448638093572928,0.6180045237496858,0.6982546467467261,0.7981696923226457,0.826953967085546,0.4838178521142266,0.454032091366077,0.6262310463265477,0.6966132113084812,0.8031287193225453,0.8315129248741687,0.4903732393790802,0.434119731321129,0.6313847700427243,0.7114669836039837,0.8120391585016851,0.8395958706365405,0.4976666702459359,0.4610757822516061,0.6401879869313898,0.7126715019404368,0.814379022305053,0.840701326185776,0.5060121007283913,0.45158445352717846
GBTClassifier,MDO,car,0.4651604255675631,0.20049536295219098,0.085181237531844,0.35787298825576336,0.17046331278769622,0.4390763202553695,0.2701499539247717,0.14868861491466026,0.08828931845384952,0.35084233947870314,0.14667427772782207,0.423160665396917,0.5510999413588004,0.2009472293006655,0.07662229715435387,0.3095881391335937,0.07355647236093418,0.4209148034321563,0.42235570076233564,0.18634884517893288,0.07176223552139407,0.33987603305785125,0.18433669490575913,0.4126682164443194,0.2877305855742649,0.16545363201808638,0.12540769273783742,0.3734538189083644,0.14878683742688437,0.46848031965103215,0.47529027393817547,0.1880916130878348,0.061543312614904214,0.3113636363636364,0.08229003300527143,0.4361011837970873,0.6186814107397168,0.3086510955006402,0.20026113831620243,0.4410294251203342,0.31549569846501313,0.5542310404204789,0.47436876937253913,0.25605619996820855,0.18973502027937186,0.4285952683679956,0.2771334463054812,0.4886472294805156,0.5868492921169473,0.2489308629472565,0.12084202613487531,0.3878417037507947,0.18347450591999642,0.5219319448289866,0.4332864203736283,0.25178835754978435,0.21380113904196416,0.4651212423939697,0.2686941137506212,0.4404967880946221,0.45849727737287427,0.21554518134182604,0.12334454177865968,0.3765584594831007,0.18509053926554792,0.46057085118014846
XGBoostWrapper,MDO,car,0.9577481779341543,0.9016890538318586,0.9097627753782136,0.9155752142594247,0.9093297129397262,0.7539074720861871,0.9508050598977966,0.8743348696576565,0.8770546872539502,0.8857602325903763,0.895337714615229,0.728236827776911,0.9490826840914803,0.8685208784373346,0.8582556257365873,0.8767992772777461,0.890924393312049,0.7480105444824303,0.9548647063751362,0.8811649120838105,0.876241619465695,0.889651676075121,0.903010974302628,0.7385374037292844,0.9560258021278379,0.8811782892487576,0.881847171358593,0.890533270557194,0.9055625365242712,0.7390975644893569,0.9496707715506408,0.8697257182863403,0.8784612185910022,0.88787002471213,0.8923547979978173,0.752864375855966,0.9433006618078243,0.8517822327024487,0.8397834943156257,0.854492457303462,0.8784014795393331,0.7339004394719317,0.9525475412582726,0.872806636140151,0.8704896549244058,0.8782426305751665,0.8986782731596756,0.7468570334780897,0.9542766189159755,0.876783917193233,0.8803009049853723,0.8884970890353665,0.9024549241757687,0.7396061975891186,0.9490877104800202,0.8836750016749988,0.8989708809458004,0.9057912780998905,0.8917029209375154,0.7298095615306096,0.951740973443914,0.8761661509256589,0.8771168032955245,0.8873213150485878,0.8967757727504013,0.7410827420489886
