,,,,AP_0,AP_1,AP_2,AP_3,AP_4,AP_5,AP_6,AP_7,AP_8,AP_9,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,BA_7,BA_8,BA_9,MCC_0,MCC_1,MCC_2,MCC_3,MCC_4,MCC_5,MCC_6,MCC_7,MCC_8,MCC_9,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,gmean_0,gmean_1,gmean_2,gmean_3,gmean_4,gmean_5,gmean_6,gmean_7,gmean_8,gmean_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_winequality-red,0.2629900455213578,0.2396864468993105,0.22297020588566596,0.25183823418931534,0.26075011470975695,0.27555281441805923,0.22873460619638877,0.25578385843924056,0.25947228114001714,0.25155632103066855,0.22141119188902952,0.17929560373820266,0.1944363804934374,0.2148950766227875,0.23005220333614504,0.2522492602777183,0.1978803543264826,0.21092139810006247,0.22918962969468826,0.2042987789060015,-0.048849251060122625,-0.164747247536822,-0.09940759690874768,-0.04267323963985794,-0.028415162071857562,-0.047668941206593166,-0.09017348511850751,-0.031591864766874075,-0.05649433952491382,-0.06636306515244321,0.34584639498432596,0.28461794670846396,0.25585619122257053,0.34841692789968653,0.32211990595611284,0.3119905956112853,0.309557210031348,0.3008013322884012,0.32073667711598747,0.29585815047021946,0.213556314950942,0.15587646116744389,0.162778572158916,0.20576895288178063,0.2035943776095185,0.2087485551564098,0.1844131856607703,0.20678353200739244,0.1950540550528372,0.19536800907934979,0.09264653815968708,0.0616850990664912,0.0835776786797183,0.07756213202176346,0.09686931117227163,0.10897575145527401,0.07774075415815467,0.11109720413490017,0.09483503847344973,0.1032080864164077,0.3095801332288401,0.19319420157253606,0.09081975937381179,0.2134629877384555,-0.06763841929867395,0.2509334928429781
XGBoostWrapper,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_winequality-red,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.4258914576802507,0.14934191226256185,0.03162277660168379,0.25,0.0,0.25
GBTClassifier,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.0001}",new_winequality-red,0.2372717348394811,0.22942202289344776,0.22628394364095422,0.24850944222922866,0.23634994940181026,0.24535578758583423,0.23755544236472087,0.24145305122217633,0.2268884804932544,0.25342352241777083,0.17456929553052017,0.18685006013238697,0.14915683557904585,0.19330440517203493,0.15842840934848762,0.20455357187072218,0.20468320894624367,0.2263231025785796,0.17047903325014258,0.1933086966727795,-0.15135751416202722,-0.16599853696549607,-0.14539160604552787,-0.09215847768792411,-0.15856731607000646,-0.09805016426192896,-0.1147322787937145,-0.07341325391953624,-0.14043392805405358,-0.12983850902642743,0.21510775862068968,0.20074451410658306,0.174455329153605,0.24954741379310344,0.20824451410658304,0.2282719435736677,0.20888714733542318,0.25764694357366774,0.18946120689655171,0.22763126959247654,0.1529689680183519,0.1431683060494385,0.13378328028750291,0.17622632292443058,0.13970385252387704,0.17701269240779177,0.16585120478655918,0.18281678286957553,0.14142788273897655,0.16902818907544007,0.09600583044925273,0.1106926333441391,0.09249955900343115,0.12257963078618136,0.08861282489386098,0.14667242406863962,0.12789223856861578,0.11115407252064964,0.11113776647335824,0.12072009545011245,0.2159998040752351,0.1581987481681944,0.11279670755582412,0.1861656619080943,-0.12699415849866422,0.2382513377088679
XGBoostWrapper,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.0001}",new_winequality-red,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.4258914576802507,0.14934191226256185,0.03162277660168379,0.25,0.0,0.25
GBTClassifier,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 1e-05}",new_winequality-red,0.2267236377696586,0.2358874824400758,0.21498064007872833,0.21796688410542647,0.2209802636161494,0.22399959560561955,0.23230009541716073,0.22938445951698724,0.22983233641884784,0.22055269522592194,0.1675109374242829,0.17220127340923747,0.13136280808139883,0.14572753494267324,0.15484903908380035,0.16871095584345142,0.15787763745036315,0.1685664254295227,0.1827213510275898,0.1597382714700993,-0.1618099895131606,-0.12725554658659685,-0.20584768897220224,-0.1868282522441988,-0.15810554812630787,-0.1478798923544059,-0.13101607990378147,-0.1467252295105567,-0.12795003089181411,-0.14423570027552063,0.17264694357366772,0.16196120689655175,0.13007836990595611,0.15756661442006267,0.14066810344827588,0.19133424764890283,0.18149686520376176,0.14631269592476487,0.1820180250783699,0.1357033699059561,0.14674825775762818,0.12153026644749636,0.10054323020194096,0.11375645575531343,0.11902104991575543,0.1492617605201379,0.13060352737631367,0.12384531137561945,0.14974978159777613,0.10267625602441624,0.13189025546712926,0.08552784138187727,0.08398617156967679,0.07474629222209558,0.11120675820925596,0.12315585106215048,0.09463204094796371,0.12539380605293848,0.1401539791039204,0.07289515584576575,0.15997864420062696,0.12577358969723978,0.10435881518627736,0.16092662341624192,-0.15376539583785453,0.22526080901945758
XGBoostWrapper,DiceLoss,"{'alpha': 0.25, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 1e-05}",new_winequality-red,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.4258914576802507,0.14934191226256185,0.03162277660168379,0.25,0.0,0.25
GBTClassifier,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_winequality-red,0.24443517486702757,0.2544225259577061,0.28643340354293356,0.29501267270369524,0.2832459317564632,0.25917142216643707,0.2814730294423433,0.2729606692538275,0.252264640493554,0.2523315658474655,0.20343042714168832,0.22031167855742217,0.21885901361809162,0.2453151188434596,0.24697099388529767,0.20783107305440138,0.22738037550966422,0.23494697138801385,0.22990779320270266,0.22106448049541388,-0.13418171070086193,-0.08610838705972669,-0.10575756042165685,-0.01316406274562793,-0.006962686714204749,-0.1114797712268392,-0.06778165823515689,-0.031123491483747472,-0.059449245836706924,-0.08839764264499327,0.33020376175548594,0.36715713166144204,0.3445532915360502,0.40518808777429466,0.4077605799373041,0.3183640282131662,0.3757993730407524,0.3770865987460815,0.3814988244514107,0.3639694357366771,0.17904146268794574,0.1957048999034257,0.20696558191915998,0.20923069911047523,0.22208324604196128,0.17584589496221492,0.2012621878171054,0.20924656488874976,0.20494212034086862,0.19317906292271889,0.06730717264790473,0.06425377447019004,0.09015473552963141,0.0653316673434016,0.06940634507034962,0.07034799061499689,0.06522666396873945,0.0835640404402577,0.06626996610092714,0.06365526468829405,0.36715811128526643,0.19975017205946255,0.07055176208746926,0.22560179256961552,-0.0704406217069522,0.26817510360314534
XGBoostWrapper,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.001}",new_winequality-red,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.4258914576802508,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.14934191226256183,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.0316227766016838,0.4258914576802507,0.14934191226256185,0.03162277660168379,0.25,0.0,0.25
GBTClassifier,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.0001}",new_winequality-red,0.23972205494872972,0.24904145341049572,0.251142519040394,0.22507875575644168,0.2444371438525871,0.2306446462615145,0.23332319487574496,0.2504274163204572,0.2672592060674751,0.24400010836074432,0.17638586464510714,0.2031716318437863,0.1851471111143872,0.18048157357265854,0.17477799437159924,0.16525795399143534,0.16036555488947976,0.179250299788276,0.2170952274954235,0.19959209141201012,-0.15850824930880228,-0.11403426480357819,-0.08775842160151379,-0.13739870907978077,-0.16349089529672312,-0.17089789538330374,-0.16471167125467234,-0.159544701029977,-0.02998913345832261,-0.11460400274120622,0.1869514106583072,0.2144670846394984,0.25275470219435736,0.14387539184952977,0.18015282131661442,0.18640869905956112,0.16320532915360503,0.21384992163009406,0.2644416144200627,0.22389694357366768,0.14193616226699848,0.15911998060846846,0.1652589406864911,0.12126903207132948,0.1347160794255618,0.13068973340423057,0.13166375629536176,0.15087058728617658,0.17268456354234513,0.17011579932677573,0.10848597877740122,0.12567242541621038,0.10195722376128194,0.1186009763888494,0.10144050914640768,0.08638936728831259,0.10139642897097392,0.10923128656132368,0.10323477582504219,0.12714499611925917,0.20300039184952978,0.14783246349137388,0.10835539682550621,0.18415253031241632,-0.13009379439578803,0.24350764988945844
XGBoostWrapper,DiceLoss,"{'alpha': 0.5, 'square_denominator': True, 'reduction': 'sum', 'index_label_position': False, 'smooth': 0.0001}",new_winequality-red,0.32741458021903525,0.3197821270233666,0.30363584518657116,0.3062432804686586,0.31670416713133703,0.32137587167153037,0.3093455857192652,0.305797982668072,0.30644731496840105,0.3069384158310671,0.3563870171502419,0.36081011961260445,0.3440510283298905,0.35116297119636697,0.3513406431509755,0.3539038279329779,0.3651154995807738,0.35696396830615684,0.35172572275325154,0.353340389639533,0.31412618626775934,0.32541700103604937,0.2766017184792279,0.2969435278671388,0.297590632740648,0.3054974445152975,0.33803683828472364,0.3142495404078023,0.2992094058363587,0.3034923990661302,0.5897531347962383,0.5966124608150472,0.5691163793103449,0.5803702978056426,0.5810031347962382,0.5847355015673981,0.603489420062696,0.5903507053291536,0.5816183385579936,0.5840967868338558,0.32153155845337605,0.3264608384011295,0.3110722397424951,0.3178462212029599,0.3177761255096664,0.32031968319017023,0.3302919821116012,0.322904286217954,0.3179680768062881,0.3198021366081536,0.08403804079082594,0.08481754635600372,0.08276058507919035,0.08370870316615878,0.08369249745807246,0.08402959600440461,0.08534361301144407,0.08433711917461217,0.08371171131923769,0.08396902503457412,0.5861146159874607,0.3205973148243794,0.08404084373945239,0.35448011876527724,0.3071164694501135,0.3123685170887304
