,,,,acc_0,f1_0,gmean_0,BA_0,MCC_0,AP_0,acc_1,f1_1,gmean_1,BA_1,MCC_1,AP_1,acc_2,f1_2,gmean_2,BA_2,MCC_2,AP_2,acc_3,f1_3,gmean_3,BA_3,MCC_3,AP_3,acc_4,f1_4,gmean_4,BA_4,MCC_4,AP_4,acc_5,f1_5,gmean_5,BA_5,MCC_5,AP_5,acc_6,f1_6,gmean_6,BA_6,MCC_6,AP_6,acc_7,f1_7,gmean_7,BA_7,MCC_7,AP_7,acc_8,f1_8,gmean_8,BA_8,MCC_8,AP_8,acc_9,f1_9,gmean_9,BA_9,MCC_9,AP_9,avg_acc,avg_f1,avg_gmean,avg_BA,avg_MCC,avg_AP
GBTClassifier,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.5, 's': 15}",new_winequality-red,0.30141065830721003,0.18630343178234263,0.1233277285681796,0.24049593330185887,-0.03470100333617408,0.2581462379210182,0.3246532131661442,0.20904627929028408,0.13953606532301752,0.26670245689743355,0.02200289066582265,0.26818589293804973,0.2864204545454545,0.1761614724821889,0.11206752666295139,0.2251574290399853,-0.07293080669267894,0.25966483284966707,0.20196904388714731,0.14716981415380753,0.11162426060940929,0.18932681555592082,-0.08670303899357662,0.2513475938532562,0.39527233542319745,0.25690828376337976,0.16922140035644265,0.30314304562853256,0.12076463355962597,0.2826506217504841,0.3145924764890282,0.20882963842848676,0.1372319085855202,0.2557399214014159,-0.0512302088673708,0.2780901761531896,0.3839851097178683,0.21908496419948512,0.13083080796199326,0.26822074296232373,0.03936975790946144,0.27073620241693463,0.3239439655172414,0.20443349964714677,0.1519945255819634,0.2590563865207901,0.008285579029696472,0.267742055432765,0.3195239028213166,0.20165520120999975,0.14893328095295472,0.2541320382397456,-0.011453875948826306,0.25990855398169643,0.3552703761755486,0.252181027843923,0.21276451473343147,0.30115259783067533,0.060259655570284607,0.2813630068179531,0.32070415360501564,0.20617736128010442,0.14375320193358634,0.25631273673786814,-0.00063364171037356,0.2677835174115014
XGBoostWrapper,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.5, 's': 15}",new_winequality-red,0.566612460815047,0.41223067324389273,0.24828746882702593,0.40206143298611713,0.2936936723008644,0.37875066600060675,0.5647257053291537,0.40972187561600515,0.24066421944723118,0.40071757135011354,0.29050287781470685,0.36225856819213126,0.5772276645768025,0.40783633164723654,0.20703745515665206,0.40189386999007937,0.31091853464287367,0.3701710781440101,0.571614420062696,0.4223307532155188,0.27337842950407343,0.4097548998477488,0.3026555765677704,0.3704589086902529,0.5678722570532916,0.4102495990332578,0.2624314630222382,0.39929462741418104,0.29555943569411774,0.36861709895975503,0.5678761755485893,0.39634567587228947,0.2162870834330997,0.3914316601331607,0.29145106211490657,0.36687101833896446,0.5709815830721003,0.41297916294029713,0.22666506103444822,0.4037322438234778,0.30096407386270074,0.37712082349052883,0.567862460815047,0.40352408483280494,0.22005509886417357,0.39660147162931164,0.29574528939363864,0.3691033410124912,0.5703702978056426,0.41445866705924866,0.2727237902255596,0.4017891646889737,0.2975606549596227,0.36880597261909437,0.5653507053291535,0.41481792579254473,0.2593303298039499,0.4025296936219787,0.2915234438086481,0.3651549904154897,0.5690493730407524,0.4104494749253096,0.24268603993184518,0.4009806635485142,0.29705746211598505,0.36973124658633244
GBTClassifier,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.5, 's': 30}",new_winequality-red,0.25393808777429466,0.18459074718701768,0.14736926902074413,0.22292003812327937,0.005007217751355707,0.2626601680225362,0.22509992163009404,0.18418573517158826,0.17909141658120034,0.20473309233187412,-0.036122091936499866,0.25661921018535755,0.17516261755485893,0.15743085428923154,0.1800168227405528,0.20531317342172714,-0.04311063678445132,0.25105126230286895,0.1563773510971787,0.14429933433125203,0.16653488192589713,0.2294881256462638,-0.0530380596930364,0.23125295377943753,0.2733287617554859,0.21434303090693066,0.20890125998517065,0.2748101770614363,0.002548590511159994,0.2491295356195299,0.2438773510971787,0.1847550074456092,0.15456726078654176,0.23251762462651282,-0.013569586649597792,0.2584588536794096,0.24892633228840128,0.19305570940922775,0.16880895554037156,0.2433075005456508,0.019398053609580294,0.26062122033779384,0.18010579937304075,0.15199574454057288,0.16140523326716055,0.18660902520998807,-0.0815535636777628,0.2210591509614929,0.2219435736677116,0.18774429760131386,0.200495895962333,0.2388772657755335,-0.029814125038573447,0.2505986959191812,0.1926234326018809,0.17312082435344872,0.19771144508833002,0.2356795210314006,-0.0018814486532813003,0.2620324111123079,0.21713832288401252,0.1775521285236193,0.17649024408983022,0.2274255543773666,-0.023213565056110694,0.25034834619199153
XGBoostWrapper,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.5, 's': 30}",new_winequality-red,0.5872198275862068,0.4125721779509597,0.20850248187943282,0.40905676369086674,0.3251216801883151,0.39368489446236665,0.5741007053291536,0.400608717328834,0.2533602252412147,0.3945412932580642,0.30144458513878136,0.3855580360242042,0.571592868338558,0.41184624210851756,0.246744160746518,0.40158315544418305,0.299245856963334,0.3835894647525019,0.5678663793103448,0.3835040116415565,0.185661537354571,0.3835833324976007,0.29349467139449503,0.3868163140280469,0.5740987460815047,0.3986419641175024,0.20080414422505566,0.3938194374777481,0.30187002807106034,0.3827250930098233,0.5716281347962382,0.4019757360703936,0.2056873050184819,0.39781549392759086,0.3002042410877845,0.3853477403807698,0.5684717868338558,0.3912160164010066,0.19725717087798308,0.38745513377351876,0.2939089341553736,0.37707845803749085,0.5716085423197492,0.3940069977177022,0.20444080599367237,0.3894527020881212,0.2964817775572723,0.37991643078724063,0.5734796238244513,0.40990623409911475,0.24171379522727846,0.3994075596228745,0.30210004267568286,0.3920912511254445,0.583487460815047,0.4116671584245653,0.2097229865904303,0.40510823571623716,0.3205439474285444,0.38661600722852935,0.574355407523511,0.40159452558601527,0.21538946131546383,0.3961823107496805,0.30344157646606434,0.3853423689836418
GBTClassifier,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.5, 's': 45}",new_winequality-red,0.28704741379310345,0.23454036064041892,0.22257319897967792,0.2730890349697201,0.05925457438417714,0.28981060357825733,0.267621473354232,0.2408604284946619,0.2362960089455985,0.31447745770851415,0.07587419947848148,0.2858070153165323,0.21961794670846393,0.17046695509996376,0.13148189480409875,0.2380413293042838,0.0024311515684378947,0.26288806122303343,0.2613832288401254,0.20987593178648362,0.17075478699711427,0.2719453666580498,0.050449968008516845,0.2842530450929778,0.24704153605015672,0.1783579821203572,0.1508724122937443,0.23442331785653972,0.010883741365296812,0.2801533729275817,0.22575822884012542,0.18278599897871609,0.15574067977236253,0.257560348492283,-0.008323764010296105,0.2733909414084663,0.20567398119122257,0.17967322137494962,0.18765630202850594,0.27800401992284796,0.0038171940453967045,0.26352642579455005,0.23637343260188087,0.19033368403401302,0.17449177028944524,0.2320128168326169,-0.012780327546347637,0.27391136228590407,0.26768416927899685,0.22155592506792302,0.22894772792859244,0.25643846170344087,0.016604029839344184,0.2606734608114424,0.2726704545454545,0.2092039897904995,0.16305609216835176,0.21037735846871503,0.021144130118200793,0.2739065654258813,0.24908718652037615,0.20176544773879868,0.18218708742074916,0.25663695119170116,0.021935489725120813,0.2748320853864627
XGBoostWrapper,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.5, 's': 45}",new_winequality-red,0.5765987460815047,0.4044536585525461,0.23217713116548802,0.3988205718866295,0.3065664361841983,0.3811032823328092,0.5703507053291537,0.40866962080444624,0.2518726157838135,0.39934539018832627,0.29801488294709066,0.38059519663478614,0.5684835423197492,0.40205846786513605,0.22739676376145415,0.3931751089792678,0.2921519795485144,0.3835052274031866,0.5778546238244513,0.4314197754493005,0.2796086203283218,0.4174930730291858,0.3111056090336882,0.37553694894266104,0.5703663793103448,0.3870105197679132,0.20944720261792313,0.3835979635486952,0.2927314542835239,0.37982263281956763,0.5822394200626959,0.41224527184712345,0.24044709637367104,0.4035642359047741,0.3169223778221875,0.3838094345712042,0.5665967868338557,0.3979149849465142,0.2316524018217807,0.39083238369993095,0.2908207050751431,0.37933554421371307,0.5753487460815048,0.401056865715406,0.2190501453371243,0.3955651578641831,0.30556018146045133,0.38494864412237034,0.5772119905956113,0.41546307849783304,0.27432131248202596,0.40308303239778737,0.3098053648374025,0.37989879899261636,0.5847511755485894,0.40997798231731925,0.20635029890683154,0.405075763344123,0.3205443425464402,0.3836321696665411,0.5749802115987461,0.4070270225763538,0.23723235885784338,0.3990552680842903,0.304422333373864,0.38121878796994557
GBTClassifier,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.25, 's': 15}",new_winequality-red,0.38525862068965516,0.2200443035258573,0.1023667105774583,0.25503342241186955,0.011640817292193632,0.2788441534436842,0.34019592476489036,0.20783749098730392,0.12031603028137657,0.2428297981015643,0.001073355088772665,0.28062214152017745,0.32213166144200633,0.2016467229114587,0.13182217440169056,0.24975070478134223,0.01941529629928241,0.26872493972708816,0.39457288401253915,0.22882274463474556,0.11911205092571549,0.26333815193486443,0.032317316368751695,0.2757149434733258,0.39029584639498427,0.22984609884498833,0.13786184844053256,0.27062396487670015,0.037102360701644764,0.27204241854338934,0.4177840909090909,0.24009390574205414,0.11709115468773024,0.27933549864892504,0.07578175446113977,0.2884951588087035,0.3389380877742946,0.21411109112875698,0.1532099341560875,0.24978621623363742,-0.03843416564410921,0.27126476203129013,0.4071336206896552,0.24100454482648503,0.14330516549642794,0.28882341410910256,0.10434736911268269,0.2827870376066223,0.402760579937304,0.21621058817307343,0.08655474930049237,0.2648629965844893,0.056620150155158123,0.26774056862424056,0.3464811912225705,0.19170588163331967,0.08339284529679966,0.22835443284006848,0.011576403316458532,0.26481597627147857,0.37455525078369906,0.21913233724080428,0.11950326635643109,0.25927386005225633,0.03114406571519751,0.275105210005
XGBoostWrapper,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.25, 's': 15}",new_winequality-red,0.555965909090909,0.34511080155118756,0.1400024996379193,0.3590364219376502,0.26499080481086257,0.3594579542708242,0.5609717868338558,0.3495783226433907,0.13967193590357518,0.3625586000230744,0.27143502382028345,0.37161202615768935,0.5634835423197493,0.36067478204206876,0.144705208192825,0.3718625297783601,0.2799834212518991,0.3627903872159741,0.5447217868338559,0.3280253941670296,0.12395094931424136,0.34509214214653594,0.24176312181197784,0.36667536223767255,0.5691183385579938,0.3668827430521556,0.15841938306967263,0.37381699784950406,0.2866144345843008,0.3766767116305664,0.5516007053291536,0.3448581419562859,0.14369660126617453,0.35635221951116147,0.25611869352570116,0.3676844063366825,0.55282131661442,0.34061017248743025,0.13127019531611434,0.3560895083452227,0.26066349844347636,0.3702684454583053,0.5578369905956113,0.341944495871771,0.13158964183175542,0.3564003417493698,0.26657613873274555,0.3739394515373001,0.5634737460815047,0.37066191768714535,0.17505055690220078,0.3750104172247248,0.28034555920406673,0.378437797960696,0.5522413793103448,0.3403048791630868,0.13264075768672606,0.3547089068992301,0.25828814184293875,0.3729748857628396,0.5572235501567397,0.34886516506215515,0.14209977291212048,0.3610928085464833,0.2666778838028252,0.370051742856855
GBTClassifier,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.25, 's': 30}",new_winequality-red,0.17377938871473353,0.15205876623952755,0.1578277803657639,0.21882772258862984,-0.0541245185192217,0.24303960774184055,0.22887539184952974,0.19443804327566636,0.19548057444824857,0.2600064736366413,0.011361047630342336,0.2529779435970997,0.24824451410658308,0.19570312347381308,0.17236664820364536,0.24193074972094925,-0.03230246728177547,0.2501566854895732,0.17073079937304075,0.16620305898566995,0.20203113842610793,0.24575471013778985,-0.06543132612699146,0.24653471693968992,0.27894984326018807,0.20569372688104756,0.16229069730319265,0.23060889110401842,0.01595122287619608,0.25947314582197045,0.16572688087774293,0.13724879360282358,0.13357463100199757,0.19117696952875923,-0.07113280453316398,0.23351173568185377,0.2538420846394984,0.19624105615425672,0.17867770727763874,0.2469886579348235,0.012050685870293293,0.25146114800897323,0.18761755485893417,0.15513901666353197,0.14362363670079495,0.21886516683862442,-0.045017787392899786,0.24656158338242484,0.18758620689655175,0.16228701983581917,0.16746566132059107,0.22443878939462247,-0.043432823352690816,0.2472070575944858,0.1988949843260188,0.16280680552281807,0.16378368538967164,0.22834886517420036,-0.0515977037667573,0.2422953660527019,0.2094247648902821,0.17278194106349742,0.16771221604376524,0.23069469960590583,-0.03236764745966688,0.24732189903106136
XGBoostWrapper,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.25, 's': 30}",new_winequality-red,0.5572237460815048,0.33320666758745926,0.12838796021264426,0.35278504902665125,0.2671053480051524,0.32125631314844527,0.5547041536050157,0.3228103526205694,0.11816441083390213,0.3445376165761724,0.26149166305192806,0.32432099690001726,0.5515967868338558,0.3286296944459378,0.1252300775776651,0.3480800419648323,0.257208417891192,0.3140541620775241,0.5509619905956114,0.3326112548039638,0.13442173367543225,0.35010504639380896,0.2511505053958249,0.3140845387416486,0.546592868338558,0.3301497822684187,0.12641407924663123,0.3512615789269823,0.25417364966892864,0.32288775584114326,0.5522257053291536,0.3162620735145622,0.10637542186637583,0.3406322347357995,0.2580494319068408,0.3111491105834481,0.5584933385579938,0.30983200857403903,0.08638708898639832,0.33993443963775805,0.2674062792355324,0.3168090666914894,0.5572452978056426,0.3289234329809966,0.12233128648205412,0.34982240147337745,0.2655861010345622,0.3267266393975179,0.548467868338558,0.3123563719118961,0.10549133030838045,0.3385039533500369,0.2510052283492885,0.31543478436523065,0.5547315830721004,0.3362330263967488,0.1288608834056271,0.35354599169830586,0.2648419332955949,0.3263873790483596,0.5532243338557994,0.3251014665104591,0.11820642725951107,0.3469208353783725,0.25980185578348447,0.3193110746794824
GBTClassifier,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.25, 's': 45}",new_winequality-red,0.19386167711598742,0.1644925021613532,0.15834710556886547,0.2164542095276969,-0.06554388606476583,0.2468116155442086,0.2457347178683386,0.19381082627127108,0.1766155084548858,0.22169706269011363,-0.01900228971504585,0.2458527349781357,0.2500548589341693,0.19375210739584964,0.15588211649286934,0.2542047826249333,0.02122221049487182,0.27353517193028765,0.22078565830721003,0.19241750218656203,0.1656906363225426,0.23465946914738342,-0.02874589962226985,0.26456134643565843,0.24946708463949846,0.20398296581223602,0.17608909955548815,0.22375752239985663,-0.01778937892901982,0.25772109076264815,0.30584639498432603,0.24857494554403683,0.22482771517402558,0.27266315562373694,0.05991984815110055,0.28647574879978205,0.2619494514106583,0.20615548486321567,0.16111581350883292,0.2503146766569038,0.043036160787894726,0.2690512922562564,0.23953957680250784,0.1840135351293671,0.17607042048325497,0.23138644031184893,-0.01649019276320842,0.2557188627369127,0.29322688087774296,0.22185896803199853,0.18267934359133353,0.25255781337785793,0.010039327381318335,0.26491949084210215,0.21511363636363634,0.17622361218706403,0.16649711817557944,0.22050593125833676,-0.04623240878215288,0.2556496744373664,0.2475579937304075,0.1985282449582954,0.1743814877327678,0.23782010636186685,-0.005958650906127722,0.2620297028723358
XGBoostWrapper,LDAMLoss,"{'cls_num_list': array([681., 638., 199.,  81.]), 'max_m': 0.25, 's': 45}",new_winequality-red,0.5697139498432603,0.4000719391511188,0.20491352694775739,0.3956308129540805,0.29763869175332786,0.367579855647612,0.554110501567398,0.4000681114967627,0.24173780862169983,0.3940338812629616,0.27734496620926097,0.35606583843495637,0.576612460815047,0.40175828850634954,0.18583169670778327,0.3994500801089711,0.30975672982610714,0.36549289670187113,0.5741163793103448,0.4120527595373103,0.22653738414594615,0.40454530943433753,0.3070187899959076,0.3583732972783368,0.5728467868338558,0.41052797487177506,0.22841834252815513,0.4024438807416377,0.3029507632200574,0.3651653687564139,0.5678546238244515,0.4125428309220872,0.2726105864782227,0.4019889004666082,0.2987530880698567,0.3591545229386323,0.5728702978056426,0.40756868818851133,0.22540776308350008,0.39922306692489695,0.30462841736782337,0.3649634979398281,0.5734992163009405,0.4199992009164717,0.27145844025370114,0.4091444607758616,0.3050527574890622,0.36215865698230065,0.5703369905956113,0.41239991169203255,0.2360639525888164,0.40233980026921373,0.30131212399823887,0.3686015960428966,0.5716242163009404,0.40154159501051545,0.1865357954838893,0.39768492461057514,0.3035836583414535,0.35998527019752946,0.5703585423197493,0.4078531300292935,0.2279515296839471,0.40064851175491434,0.3008039986271096,0.3627540800920377
